# t x+yi
0.00000 1.00000+0.00000i
0.03157 0.99950+0.03157i
0.06315 0.99801+0.06311i
0.09472 0.99552+0.09458i
0.12630 0.99204+0.12596i
0.15787 0.98756+0.15721i
0.18944 0.98211+0.18831i
0.22102 0.97568+0.21922i
0.25259 0.96827+0.24991i
0.28416 0.95990+0.28036i
0.31574 0.95057+0.31052i
0.34731 0.94029+0.34037i
0.37889 0.92908+0.36989i
0.41046 0.91694+0.39903i
0.44203 0.90388+0.42778i
0.47361 0.88993+0.45610i
0.50518 0.87509+0.48397i
0.53675 0.85937+0.51135i
0.56833 0.84280+0.53822i
0.59990 0.82539+0.56456i
0.63148 0.80716+0.59034i
0.66305 0.78812+0.61552i
0.69462 0.76829+0.64010i
0.72620 0.74770+0.66403i
0.75777 0.72637+0.68730i
0.78934 0.70431+0.70989i
0.82092 0.68155+0.73177i
0.85249 0.65811+0.75292i
0.88407 0.63401+0.77332i
0.91564 0.60928+0.79295i
0.94721 0.58395+0.81179i
0.97879 0.55803+0.82982i
1.01036 0.53155+0.84702i
1.04194 0.50455+0.86338i
1.07351 0.47704+0.87888i
1.10508 0.44906+0.89350i
1.13666 0.42063+0.90723i
1.16823 0.39178+0.92006i
1.19980 0.36254+0.93197i
1.23138 0.33294+0.94295i
1.26295 0.30301+0.95299i
1.29453 0.27277+0.96208i
1.32610 0.24226+0.97021i
1.35767 0.21151+0.97738i
1.38925 0.18055+0.98357i
1.42082 0.14941+0.98877i
1.45239 0.11813+0.99300i
1.48397 0.08672+0.99623i
1.51554 0.05523+0.99847i
1.54712 0.02368+0.99972i
1.57869 -0.00789+0.99997i
1.61026 -0.03946+0.99922i
1.64184 -0.07098+0.99748i
1.67341 -0.10243+0.99474i
1.70498 -0.13379+0.99101i
1.73656 -0.16500+0.98629i
1.76813 -0.19606+0.98059i
1.79971 -0.22692+0.97391i
1.83128 -0.25755+0.96627i
1.86285 -0.28792+0.95765i
1.89443 -0.31801+0.94809i
1.92600 -0.34778+0.93758i
1.95758 -0.37721+0.92613i
1.98915 -0.40626+0.91376i
2.02072 -0.43490+0.90048i
2.05230 -0.46311+0.88630i
2.08387 -0.49086+0.87124i
2.11544 -0.51812+0.85531i
2.14702 -0.54486+0.83853i
2.17859 -0.57106+0.82091i
2.21017 -0.59669+0.80247i
2.24174 -0.62172+0.78324i
2.27331 -0.64614+0.76322i
2.30489 -0.66991+0.74244i
2.33646 -0.69302+0.72092i
2.36803 -0.71543+0.69869i
2.39961 -0.73713+0.67575i
2.43118 -0.75809+0.65214i
2.46276 -0.77830+0.62789i
2.49433 -0.79774+0.60301i
2.52590 -0.81638+0.57752i
2.55748 -0.83420+0.55146i
2.58905 -0.85119+0.52485i
2.62063 -0.86734+0.49772i
2.65220 -0.88262+0.47009i
2.68377 -0.89702+0.44199i
2.71535 -0.91052+0.41346i
2.74692 -0.92312+0.38451i
2.77849 -0.93480+0.35517i
2.81007 -0.94555+0.32549i
2.84164 -0.95535+0.29547i
2.87322 -0.96420+0.26517i
2.90479 -0.97209+0.23460i
2.93636 -0.97901+0.20379i
2.96794 -0.98496+0.17278i
2.99951 -0.98992+0.14160i
3.03108 -0.99390+0.11028i
3.06266 -0.99689+0.07885i
3.09423 -0.99888+0.04734i
3.12581 -0.99988+0.01579i
3.15738 -0.99988-0.01579i
3.18895 -0.99888-0.04734i
3.22053 -0.99689-0.07885i
3.25210 -0.99390-0.11028i
3.28367 -0.98992-0.14160i
3.31525 -0.98496-0.17278i
3.34682 -0.97901-0.20379i
3.37840 -0.97209-0.23460i
3.40997 -0.96420-0.26517i
3.44154 -0.95535-0.29547i
3.47312 -0.94555-0.32549i
3.50469 -0.93480-0.35517i
3.53627 -0.92312-0.38451i
3.56784 -0.91052-0.41346i
3.59941 -0.89702-0.44199i
3.63099 -0.88262-0.47009i
3.66256 -0.86734-0.49772i
3.69413 -0.85119-0.52485i
3.72571 -0.83420-0.55146i
3.75728 -0.81638-0.57752i
3.78886 -0.79774-0.60301i
3.82043 -0.77830-0.62789i
3.85200 -0.75809-0.65214i
3.88358 -0.73713-0.67575i
3.91515 -0.71543-0.69869i
3.94672 -0.69302-0.72092i
3.97830 -0.66991-0.74244i
4.00987 -0.64614-0.76322i
4.04145 -0.62172-0.78324i
4.07302 -0.59669-0.80247i
4.10459 -0.57106-0.82091i
4.13617 -0.54486-0.83853i
4.16774 -0.51812-0.85531i
4.19931 -0.49086-0.87124i
4.23089 -0.46311-0.88630i
4.26246 -0.43490-0.90048i
4.29404 -0.40626-0.91376i
4.32561 -0.37721-0.92613i
4.35718 -0.34778-0.93758i
4.38876 -0.31801-0.94809i
4.42033 -0.28792-0.95765i
4.45191 -0.25755-0.96627i
4.48348 -0.22692-0.97391i
4.51505 -0.19606-0.98059i
4.54663 -0.16500-0.98629i
4.57820 -0.13379-0.99101i
4.60977 -0.10243-0.99474i
4.64135 -0.07098-0.99748i
4.67292 -0.03946-0.99922i
4.70450 -0.00789-0.99997i
4.73607 0.02368-0.99972i
4.76764 0.05523-0.99847i
4.79922 0.08672-0.99623i
4.83079 0.11813-0.99300i
4.86236 0.14941-0.98877i
4.89394 0.18055-0.98357i
4.92551 0.21151-0.97738i
4.95709 0.24226-0.97021i
4.98866 0.27277-0.96208i
5.02023 0.30301-0.95299i
5.05181 0.33294-0.94295i
5.08338 0.36254-0.93197i
5.11495 0.39178-0.92006i
5.14653 0.42063-0.90723i
5.17810 0.44906-0.89350i
5.20968 0.47704-0.87888i
5.24125 0.50455-0.86338i
5.27282 0.53155-0.84702i
5.30440 0.55803-0.82982i
5.33597 0.58395-0.81179i
5.36755 0.60928-0.79295i
5.39912 0.63401-0.77332i
5.43069 0.65811-0.75292i
5.46227 0.68155-0.73177i
5.49384 0.70431-0.70989i
5.52541 0.72637-0.68730i
5.55699 0.74770-0.66403i
5.58856 0.76829-0.64010i
5.62014 0.78812-0.61552i
5.65171 0.80716-0.59034i
5.68328 0.82539-0.56456i
5.71486 0.84280-0.53822i
5.74643 0.85937-0.51135i
5.77800 0.87509-0.48397i
5.80958 0.88993-0.45610i
5.84115 0.90388-0.42778i
5.87273 0.91694-0.39903i
5.90430 0.92908-0.36989i
5.93587 0.94029-0.34037i
5.96745 0.95057-0.31052i
5.99902 0.95990-0.28036i
6.03059 0.96827-0.24991i
6.06217 0.97568-0.21922i
6.09374 0.98211-0.18831i
6.12532 0.98756-0.15721i
6.15689 0.99204-0.12596i
6.18846 0.99552-0.09458i
6.22004 0.99801-0.06311i
6.25161 0.99950-0.03157i
6.28319 1.00000-0.00000i
